1736541295.848132139,raspberrypi2,687500.000000000000000,ram,None
1736541295.854613608,raspberrypi1,2320608.000000000000000,ram,None
1736541296.160359254,raspberrypi3,651160.000000000000000,ram,None
1736541296.848951223,raspberrypi2,687752.000000000000000,ram,None
1736541296.854136625,raspberrypi1,2343928.000000000000000,ram,None
1736541297.161105495,raspberrypi3,651160.000000000000000,ram,None
1736541297.847566006,raspberrypi2,687748.000000000000000,ram,None
1736541297.856467321,raspberrypi1,2340856.000000000000000,ram,None
1736541298.160036600,raspberrypi3,650908.000000000000000,ram,None
1736541298.851987993,raspberrypi2,690520.000000000000000,ram,None
1736541298.855927172,raspberrypi1,2333240.000000000000000,ram,None
1736541299.160311445,raspberrypi3,658040.000000000000000,ram,None
1736541299.848263774,raspberrypi2,702404.000000000000000,ram,None
1736541299.854126232,raspberrypi1,2321308.000000000000000,ram,None
1736541300.160602217,raspberrypi3,657408.000000000000000,ram,None
1736541300.848013663,raspberrypi2,697212.000000000000000,ram,None
1736541300.862805995,raspberrypi1,2328080.000000000000000,ram,None
1736541301.160695124,raspberrypi3,654412.000000000000000,ram,None
1736541301.847662053,raspberrypi2,695404.000000000000000,ram,None
1736541301.855032067,raspberrypi1,2335384.000000000000000,ram,None
1736541302.160171266,raspberrypi3,654336.000000000000000,ram,None
1736541302.848077124,raspberrypi2,694288.000000000000000,ram,None
1736541302.860513130,raspberrypi1,2353548.000000000000000,ram,None
1736541303.162000798,raspberrypi3,652684.000000000000000,ram,None
1736541303.848632102,raspberrypi2,693004.000000000000000,ram,None
1736541303.855115523,raspberrypi1,2312868.000000000000000,ram,None

1736541304.847984828,raspberrypi2,691256.000000000000000,ram,None
1736541304.857618463,raspberrypi1,2339164.000000000000000,ram,None
1736541305.159904348,raspberrypi3,652468.000000000000000,ram,None
1736541305.848244420,raspberrypi2,691256.000000000000000,ram,None
1736541305.854366768,raspberrypi1,2324548.000000000000000,ram,None
1736541306.161278874,raspberrypi3,652468.000000000000000,ram,None
1736541306.847894424,raspberrypi2,691256.000000000000000,ram,None
1736541306.859037584,raspberrypi1,2315616.000000000000000,ram,None
1736541307.160294292,raspberrypi3,652468.000000000000000,ram,None
1736541307.848471089,raspberrypi2,691256.000000000000000,ram,None
1736541307.854278040,raspberrypi1,2313960.000000000000000,ram,None
